,time,low,high,open,close,volume
3402,1563235200,301.06,318.3,313.1,308.45,2595.19600591
3401,1563220800,312.74,323.34,318.19,313.44,2847.39896317
3400,1563206400,307.56,328.39,317.9,317.71,4443.5782155
3399,1563192000,284.09,325.0,291.59,317.91,4352.15581402
3398,1563177600,282.48,296.0,288.13,291.46,1552.15042971
3397,1563163200,277.36,289.29,285.53,288.42,3950.62283566
3396,1563148800,255.06,292.06,280.62,286.19,22659.77024354
3395,1563134400,273.2,314.98,306.88,281.94,3336.93549431
3394,1563120000,301.6,313.92,306.12,307.02,8463.86292715
3393,1563105600,299.0,325.62,323.66,306.0,3279.39131067
3392,1563091200,318.41,340.0,339.15,323.56,663.10029955
3391,1563076800,337.48,342.72,340.51,339.2,1075.05340798
3390,1563062400,340.24,346.0,343.96,340.48,1900.75235039
3389,1563048000,330.37,345.0,341.1,343.57,3582.12201987
3388,1563033600,335.64,350.19,348.26,341.06,1554.4821662
3387,1563019200,335.64,349.88,336.55,348.4,1456.29543873
3386,1563004800,331.97,348.8,344.96,336.58,928.0443395
3385,1562990400,342.88,349.58,347.7,344.76,871.80521101
3384,1562976000,347.66,354.28,353.7,347.84,1412.03453955
3383,1562961600,350.11,357.99,350.11,353.68,3704.8804059
3382,1562947200,343.35,351.71,346.0,349.87,2410.21610327
3381,1562932800,343.98,353.78,352.82,346.02,2748.78050028
3380,1562918400,348.28,357.3,350.72,353.04,2156.14345845
3379,1562904000,338.01,353.22,341.39,350.9,3718.57884876
3378,1562889600,336.29,361.67,345.49,341.49,8982.16273207
3377,1562875200,328.68,347.89,345.19,345.85,13374.36487372
3376,1562860800,328.68,354.85,335.03,345.27,11593.49577001
3375,1562846400,328.67,349.27,344.57,335.51,4935.63196215
3374,1562832000,336.0,355.54,354.03,344.56,3888.57077728
3373,1562817600,311.51,367.62,365.3,353.96,25702.14073555
3372,1562803200,360.4,389.48,388.94,365.07,3973.639832
3371,1562788800,380.05,392.0,386.53,388.97,4054.83186129
3370,1562774400,380.16,393.0,387.03,386.69,5915.60131373
3369,1562760000,380.0,419.76,416.03,387.3,1043.01068778
3368,1562745600,413.72,419.75,414.74,416.07,458.85711254
3367,1562731200,413.29,420.33,418.5,414.74,1243.21535082
3366,1562716800,414.31,423.82,415.75,418.66,3118.55306512
3365,1562702400,411.0,416.47,414.64,415.16,877.23281245
3364,1562688000,412.02,417.82,413.9,414.73,1560.50307064
3363,1562673600,410.51,418.26,417.02,413.94,918.29732483
3362,1562659200,414.0,425.55,421.75,417.03,1077.25044268
3361,1562644800,419.27,428.98,423.78,421.6,1359.74513345
3360,1562630400,416.38,427.14,417.97,423.92,882.3139117
3359,1562616000,414.12,420.4,416.63,417.63,1322.00293595
3358,1562601600,410.32,418.46,412.75,416.87,1165.37669465
3357,1562587200,411.18,414.95,413.78,412.75,702.22418248
3356,1562572800,406.46,418.1,408.84,413.56,1042.83985063
3355,1562558400,406.03,411.15,408.23,408.64,570.91057234
3354,1562544000,406.59,414.0,412.37,408.37,1047.72650398
3353,1562529600,407.77,415.67,410.64,412.43,937.19942424
3352,1562515200,398.0,412.55,403.35,410.53,1909.76128501
3351,1562500800,401.46,408.46,405.68,403.89,586.96409414
3350,1562486400,400.26,407.05,402.38,405.61,548.978163
3349,1562472000,401.49,405.48,401.87,402.2,901.52391591
3348,1562457600,400.1,406.45,406.37,401.8,819.30820996
3347,1562443200,403.59,417.29,414.54,406.34,1167.17309769
3346,1562428800,411.98,418.87,416.35,414.22,1556.07583069
3345,1562414400,400.0,419.8,402.22,416.65,924.39555321
3344,1562400000,400.79,407.0,405.06,402.69,695.22157741
3343,1562385600,402.05,407.69,405.7,404.96,1223.57768897
3342,1562371200,399.59,406.54,400.01,405.52,2516.69150541
3341,1562356800,395.6,403.11,400.99,400.11,2602.94065656
3340,1562342400,397.0,404.7,402.12,401.67,594.14820927
3339,1562328000,398.64,406.7,403.59,402.33,624.23447266
3338,1562313600,394.04,410.58,396.02,403.82,1384.4211302
3337,1562299200,390.54,403.84,400.75,395.98,486.7577211
3336,1562284800,394.59,403.4,399.87,400.75,2118.64464665
3335,1562270400,397.71,417.45,415.96,399.64,1743.48188965
3334,1562256000,413.31,419.78,414.22,416.11,1290.64394681
3333,1562241600,408.97,417.73,413.14,413.87,740.9023164
3332,1562227200,411.19,419.25,416.67,413.16,732.29412039
3331,1562212800,412.0,420.49,416.12,416.97,843.04993034
3330,1562198400,413.07,423.74,422.0,416.27,1525.21484368
3329,1562184000,410.73,424.0,412.38,421.75,521.65308034
3328,1562169600,408.0,416.0,412.95,412.25,848.24453847
3327,1562155200,406.01,413.0,406.81,412.63,566.6638237
3326,1562140800,405.45,413.74,409.07,406.8,1188.44585526
3325,1562126400,408.39,417.11,413.28,408.79,422.83184193
3324,1562112000,407.53,416.95,407.8,413.13,2220.89484791
3323,1562097600,396.01,410.9,403.23,407.05,2067.87262217
3322,1562083200,395.77,405.88,404.43,403.23,1794.99324729
3321,1562068800,388.0,405.9,388.86,405.09,3121.82554288
3320,1562054400,380.32,403.99,392.94,389.05,2811.22761971
3319,1562040000,388.01,412.6,410.02,392.94,7949.19226059
3318,1562025600,404.34,422.0,415.7,410.16,2945.42500214
3317,1562011200,393.81,419.98,394.4,415.63,5083.47557539
3316,1561996800,389.16,402.42,395.37,393.99,3032.23450789
3315,1561982400,385.0,409.2,408.76,395.46,5161.9284886
3314,1561968000,402.7,414.91,406.98,408.78,475.37903069
3313,1561953600,402.5,419.17,416.12,406.94,1061.37059072
3312,1561939200,395.0,418.72,399.95,415.67,4436.95452283
3311,1561924800,395.48,419.23,415.0,399.5,1960.46474874
3310,1561910400,395.05,414.94,403.19,414.0,4756.81592284
3309,1561896000,401.0,429.21,425.07,402.62,923.46859509
3308,1561881600,421.71,438.61,427.86,424.61,323.7478468
3307,1561867200,425.1,442.64,441.77,427.55,1048.62936936
3306,1561852800,436.23,449.5,439.62,441.91,2590.41846376
3305,1561838400,432.11,444.38,432.17,439.62,2089.10241363
3304,1561824000,421.07,437.0,429.48,432.05,2898.42149732
3303,1561809600,426.78,437.51,436.2,428.09,1476.66362492
3302,1561795200,416.37,437.51,418.78,436.2,640.83277567
3301,1561780800,411.18,420.33,414.92,418.73,1576.00164847
3300,1561766400,411.0,435.42,433.93,414.72,1682.85681645
3299,1561752000,428.0,438.28,436.74,434.0,3209.22020731
3298,1561737600,421.53,438.29,425.43,436.73,3460.46031231
3297,1561723200,413.82,430.0,427.2,424.89,3282.87730991
3296,1561708800,406.2,438.29,406.21,427.2,5381.80300844
3295,1561694400,397.5,414.83,407.94,405.82,2288.0106516
3294,1561680000,394.61,419.26,411.42,408.0,3652.9198481
3293,1561665600,390.77,420.78,402.45,411.76,6414.17908746
3292,1561651200,382.28,428.99,424.66,402.45,17837.72654367
3291,1561636800,411.0,440.96,438.34,424.93,5816.45923671
3290,1561622400,408.23,460.75,457.44,437.9,5457.07195393
3289,1561608000,452.33,479.03,477.78,457.53,1714.20248482
3288,1561593600,469.0,491.65,481.8,477.95,5942.73861947
3287,1561579200,435.0,515.87,505.4,481.82,20763.92883496
3286,1561564800,499.72,515.0,509.24,505.37,8623.66973397
3285,1561550400,499.01,511.54,503.62,508.88,4473.85845057
3284,1561536000,481.85,504.71,484.93,503.74,1194.39917199
3283,1561521600,479.01,494.45,491.4,484.9,5888.56581487
3282,1561507200,473.0,495.0,477.07,491.4,4054.9140789
3281,1561492800,467.99,480.0,470.62,477.36,1158.66246365
3280,1561478400,466.0,475.68,472.35,470.13,1660.74486005
3279,1561464000,463.0,474.05,473.13,472.33,4303.83762302
3278,1561449600,470.89,480.13,480.13,473.31,770.03671868
3277,1561435200,477.04,484.31,479.73,480.0,1106.0905
3276,1561420800,474.16,484.0,478.31,479.24,2263.20076515
3275,1561406400,465.51,478.31,469.0,478.31,661.13093575
3274,1561392000,465.55,475.68,470.19,468.3,1794.42913915
3273,1561377600,467.5,473.29,471.58,470.14,600.68768564
3272,1561363200,467.71,476.98,470.34,471.69,660.25526067
3271,1561348800,465.5,474.5,466.61,470.37,1304.13634898
3270,1561334400,459.09,474.88,474.87,466.82,5753.37254652
3269,1561320000,469.0,493.0,482.0,474.76,2608.65855593
3268,1561305600,475.12,484.99,482.42,481.57,1592.07308382
3267,1561291200,475.0,487.1,481.39,482.29,956.67284989
3266,1561276800,472.26,487.5,485.59,481.43,1568.4475187
3265,1561262400,483.32,496.0,489.77,485.55,1646.93335351
3264,1561248000,476.22,501.0,479.56,489.77,2945.44067065
3263,1561233600,465.03,483.96,478.38,479.67,2128.78569745
